placekey,poi_cbg,latitude,longitude,top_category
zzw-225@62j-sj2-54v,250173524002,42.366056,-71.092182,Restaurants and Other Eating Places
22s-222@62j-sj2-4vz,250173524002,42.366355,-71.094301,Restaurants and Other Eating Places
224-224@62j-sj4-syv,250173531022,42.361342,-71.08126700000001,Restaurants and Other Eating Places
zzw-224@62j-sj2-54v,250173524001,42.366383,-71.091443,Restaurants and Other Eating Places
zzw-222@62j-sj2-d9z,250173524002,42.363468,-71.088546,Restaurants and Other Eating Places
222-222@62j-sj4-vcq,250173531022,42.360213,-71.085994,Restaurants and Other Eating Places
zzw-224@62j-sj2-b49,250173531022,42.359126,-71.092975,Restaurants and Other Eating Places
229-222@62j-sj3-4d9,250173524002,42.363101,-71.08785400000001,Restaurants and Other Eating Places
zzw-223@62j-sj3-2tv,250173523002,42.363323,-71.08247,Restaurants and Other Eating Places
222-224@62j-sj3-47q,250173524002,42.362790000000004,-71.085498,Restaurants and Other Eating Places
zzw-223@62j-sj2-b49,250173531022,42.359113,-71.092946,Restaurants and Other Eating Places
24y-222@62j-sj2-4sq,250173524002,42.365031,-71.092656,Restaurants and Other Eating Places
zzw-223@62j-sj2-d5f,250173524002,42.363027,-71.091578,Restaurants and Other Eating Places
227-222@62j-sj3-2tv,250173523002,42.363372999999996,-71.081453,Restaurants and Other Eating Places
22b-223@62j-sj3-2zf,250173523002,42.363587,-71.083219,Restaurants and Other Eating Places
23m-222@62j-shx-k4v,250173523002,42.36853,-71.079323,Restaurants and Other Eating Places
23w-222@62j-sj2-4vz,250173524002,42.366428000000006,-71.094095,Restaurants and Other Eating Places
zzw-222@62j-sj4-vcq,250173531022,42.360684,-71.086093,Restaurants and Other Eating Places
223-222@62j-sj2-d5f,250173524002,42.363058,-71.092456,Restaurants and Other Eating Places
222-224@62j-sj3-4d9,250173524002,42.362854,-71.087715,Restaurants and Other Eating Places
zzw-222@62j-sj4-rp9,250173531022,42.359176,-71.088217,Drinking Places (Alcoholic Beverages)
2dz-222@62j-sj3-2zf,250173523002,42.364305,-71.08403299999999,Restaurants and Other Eating Places
zzy-222@62j-sj4-v9f,250173531022,42.361317,-71.085981,Restaurants and Other Eating Places
25x-222@62j-sj3-4vz,250173523001,42.367616999999996,-71.081342,Restaurants and Other Eating Places
222-223@62j-sj2-dqf,250173531022,42.361649,-71.09047,Restaurants and Other Eating Places
zzw-223@62j-sj3-2kz,250173523002,42.366023999999996,-71.081946,Restaurants and Other Eating Places
222-224@62j-sj3-33q,250173524002,42.362666,-71.08399399999999,Restaurants and Other Eating Places
223-223@62j-sj2-dvz,250173531022,42.362207,-71.087304,Restaurants and Other Eating Places
zzw-222@62j-sj3-2c5,250173523001,42.366646,-71.086437,Restaurants and Other Eating Places
223-222@62j-sj3-4d9,250173524002,42.362829999999995,-71.087282,Restaurants and Other Eating Places
22f-222@62j-sj3-5vf,250173523002,42.366473,-71.078164,Restaurants and Other Eating Places
zzw-222@62j-shx-qxq,250173523002,42.364905,-71.07865699999999,Restaurants and Other Eating Places
222-222@62j-sj3-5vf,250173523002,42.366118,-71.07826899999999,Restaurants and Other Eating Places
zzw-222@62j-sj3-3qz,250173524001,42.365551,-71.09015699999999,Restaurants and Other Eating Places
224-222@62j-sj3-5vf,250173523002,42.366295,-71.07820600000001,Restaurants and Other Eating Places
zzy-222@62j-sj3-2kz,250173523001,42.365879,-71.082512,Restaurants and Other Eating Places
zzw-222@62j-sj2-54v,250173524001,42.36615,-71.090746,Restaurants and Other Eating Places
zzw-222@62j-sj3-47q,250173524002,42.36255,-71.085605,Restaurants and Other Eating Places
225-223@62j-sj3-3bk,250173523002,42.364512,-71.082035,Restaurants and Other Eating Places
zzy-222@62j-sj3-3bk,250173523002,42.364909999999995,-71.08259,Restaurants and Other Eating Places
22g-222@62j-sj3-4d9,250173524002,42.36335,-71.08775,Restaurants and Other Eating Places
zzw-222@62j-sj3-2tv,250173523002,42.363486,-71.082828,Restaurants and Other Eating Places
224-222@62j-sj3-3bk,250173523002,42.364393,-71.08209699999999,Restaurants and Other Eating Places
22b-222@62j-sj3-2zf,250173523002,42.363578000000004,-71.083294,Restaurants and Other Eating Places
zzw-222@62j-sj3-4d9,250173524002,42.363164000000005,-71.088442,Restaurants and Other Eating Places
zzw-223@62j-sj3-4d9,250173524002,42.363039,-71.088413,Restaurants and Other Eating Places
226-222@62j-sj3-5j9,250173523002,42.365056,-71.079892,Restaurants and Other Eating Places
zzw-222@62j-sj2-b49,250173531022,42.359142,-71.092973,Restaurants and Other Eating Places
zzw-22c@62j-sj2-54v,250173524001,42.366084,-71.090843,Drinking Places (Alcoholic Beverages)
222-223@62j-sj3-45f,250173524002,42.363694,-71.087271,Restaurants and Other Eating Places
222-222@62j-sj3-4d9,250173524002,42.362844,-71.087726,Restaurants and Other Eating Places
22b-223@62j-sj3-5vf,250173523002,42.366363,-71.07819,Restaurants and Other Eating Places
zzw-22b@62j-sj2-54v,250173524001,42.368071,-71.093378,Restaurants and Other Eating Places
222-222@62j-sj3-3bk,250173523002,42.365244,-71.08233299999999,Restaurants and Other Eating Places
zzy-222@62j-sj2-fmk,250173524002,42.363147999999995,-71.093133,Restaurants and Other Eating Places
zzw-222@62j-sj3-5xq,250173523002,42.367536,-71.080956,Restaurants and Other Eating Places
